Datetime,Hash,Parent,Author,Commit Msg,Filepath,Filename,Removed Test Case,Test Run,Test Fail Reason
12/18/2003 20:07:36,0e07ac6b2cff63550d7df336355ca63cc05aa40b,1ba4f9861a0cfbc32c56efced3619874a43ec5dd,scolebourne@joda.org,"Move from Joda CVS


git-svn-id: https://joda-time.svn.sourceforge.net/svnroot/joda-time/trunk@10 1e1cfbb7-5c0e-0410-a2f0-f98d92ec03a1",JodaTime/src/test/org/joda/test/time/TestDateTimeFormat.java,TestDateTimeFormat.java,testGetDateTimeInstance,failed,assertion failure
12/18/2003 20:07:36,0e07ac6b2cff63550d7df336355ca63cc05aa40b,1ba4f9861a0cfbc32c56efced3619874a43ec5dd,scolebourne@joda.org,"Move from Joda CVS


git-svn-id: https://joda-time.svn.sourceforge.net/svnroot/joda-time/trunk@10 1e1cfbb7-5c0e-0410-a2f0-f98d92ec03a1",JodaTime/src/test/org/joda/test/time/TestDateTimeFormat.java,TestDateTimeFormat.java,testGetPattern,failed,assertion failure
12/18/2003 20:07:36,0e07ac6b2cff63550d7df336355ca63cc05aa40b,1ba4f9861a0cfbc32c56efced3619874a43ec5dd,scolebourne@joda.org,"Move from Joda CVS


git-svn-id: https://joda-time.svn.sourceforge.net/svnroot/joda-time/trunk@10 1e1cfbb7-5c0e-0410-a2f0-f98d92ec03a1",JodaTime/src/test/org/joda/test/time/TestDateTimeFormat.java,TestDateTimeFormat.java,testGetChronology,failed,assertion failure
12/18/2003 20:07:36,0e07ac6b2cff63550d7df336355ca63cc05aa40b,1ba4f9861a0cfbc32c56efced3619874a43ec5dd,scolebourne@joda.org,"Move from Joda CVS


git-svn-id: https://joda-time.svn.sourceforge.net/svnroot/joda-time/trunk@10 1e1cfbb7-5c0e-0410-a2f0-f98d92ec03a1",JodaTime/src/test/org/joda/test/time/TestDateTimeFormat.java,TestDateTimeFormat.java,testGetTimeZone,failed,assertion failure
12/18/2003 20:07:36,0e07ac6b2cff63550d7df336355ca63cc05aa40b,1ba4f9861a0cfbc32c56efced3619874a43ec5dd,scolebourne@joda.org,"Move from Joda CVS


git-svn-id: https://joda-time.svn.sourceforge.net/svnroot/joda-time/trunk@10 1e1cfbb7-5c0e-0410-a2f0-f98d92ec03a1",JodaTime/src/test/org/joda/test/time/TestDateTimeFormat.java,TestDateTimeFormat.java,testGetLocale,failed,assertion failure
12/18/2003 20:07:36,0e07ac6b2cff63550d7df336355ca63cc05aa40b,1ba4f9861a0cfbc32c56efced3619874a43ec5dd,scolebourne@joda.org,"Move from Joda CVS


git-svn-id: https://joda-time.svn.sourceforge.net/svnroot/joda-time/trunk@10 1e1cfbb7-5c0e-0410-a2f0-f98d92ec03a1",JodaTime/src/test/org/joda/test/time/TestDateTimeFormat.java,TestDateTimeFormat.java,testGetPrinter,failed,assertion failure
12/18/2003 20:07:36,0e07ac6b2cff63550d7df336355ca63cc05aa40b,1ba4f9861a0cfbc32c56efced3619874a43ec5dd,scolebourne@joda.org,"Move from Joda CVS


git-svn-id: https://joda-time.svn.sourceforge.net/svnroot/joda-time/trunk@10 1e1cfbb7-5c0e-0410-a2f0-f98d92ec03a1",JodaTime/src/test/org/joda/test/time/TestDateTimeFormat.java,TestDateTimeFormat.java,testGetParser,failed,assertion failure
12/18/2003 20:07:36,0e07ac6b2cff63550d7df336355ca63cc05aa40b,1ba4f9861a0cfbc32c56efced3619874a43ec5dd,scolebourne@joda.org,"Move from Joda CVS


git-svn-id: https://joda-time.svn.sourceforge.net/svnroot/joda-time/trunk@10 1e1cfbb7-5c0e-0410-a2f0-f98d92ec03a1",JodaTime/src/test/org/joda/test/time/TestDateTimeFormat.java,TestDateTimeFormat.java,testEstimatePrintedLength,failed,assertion failure
12/18/2003 20:07:36,0e07ac6b2cff63550d7df336355ca63cc05aa40b,1ba4f9861a0cfbc32c56efced3619874a43ec5dd,scolebourne@joda.org,"Move from Joda CVS


git-svn-id: https://joda-time.svn.sourceforge.net/svnroot/joda-time/trunk@10 1e1cfbb7-5c0e-0410-a2f0-f98d92ec03a1",JodaTime/src/test/org/joda/test/time/TestDateTimeFormat.java,TestDateTimeFormat.java,testPrintToSLL,failed,assertion failure
12/18/2003 20:07:36,0e07ac6b2cff63550d7df336355ca63cc05aa40b,1ba4f9861a0cfbc32c56efced3619874a43ec5dd,scolebourne@joda.org,"Move from Joda CVS


git-svn-id: https://joda-time.svn.sourceforge.net/svnroot/joda-time/trunk@10 1e1cfbb7-5c0e-0410-a2f0-f98d92ec03a1",JodaTime/src/test/org/joda/test/time/TestDateTimeFormat.java,TestDateTimeFormat.java,testPrintToWLL,failed,assertion failure
